# 전체 ETF: 1072개 / 국내주식형: 763개
# 매칭: 702개 / 미매칭: 61개

== 국내 주식형 ETF ==
[MISS] 0115E0	KODEX 코리아소버린AI
[OK] 0035T0	PLUS 글로벌휴머노이드로봇액티브
[OK] 496090	KIWOOM 코리아밸류업
[OK] 0098N0	PLUS 자사주매입고배당주
[OK] 441540	HANARO Fn조선해운
[OK] 143850	TIGER 미국S&P500선물(H)
[MISS] 469170	ACE 포스코그룹포커스
[OK] 0111J0	HANARO 증권고배당TOP3플러스
[MISS] 0151P0	RISE 코리아전략산업액티브
[MISS] 454320	HANARO CAPEX설비투자iSelect
[OK] 0102A0	TIGER 미국AI소프트웨어TOP4Plus
[OK] 0093A0	RISE AI반도체TOP10
[OK] 261070	TIGER 코스닥150바이오테크
[OK] 0132H0	KODEX 미국원자력SMR
[OK] 401170	RISE 메타버스
[OK] 412770	TIGER 글로벌AI플랫폼액티브
[OK] 266420	KODEX 헬스케어
[OK] 453330	RISE 미국S&P500(H)
[OK] 211560	TIGER 배당성장
[OK] 448100	WON 200
[OK] 195980	PLUS 신흥국MSCI(합성 H)
[OK] 440910	WON 미국우주항공방산
[OK] 0154F0	WON 초대형IB&금융지주
[OK] 0086B0	TIGER 리츠부동산인프라TOP10액티브
[OK] 122090	PLUS 코스피50
[OK] 460960	ACE 글로벌인컴TOP10
[OK] 211900	KODEX 코리아배당성장
[OK] 269540	PLUS 미국S&P500(H)
[OK] 0022T0	SOL 국제금커버드콜액티브
[OK] 0113D0	TIME 글로벌탑픽액티브
[OK] 495330	1Q 코리아밸류업
[OK] 228800	TIGER 여행레저
[OK] 0049M0	ACE 미국배당퀄리티+커버드콜액티브
[OK] 0089C0	KODEX 미국S&P500변동성확대시커버드콜
[OK] 476030	SOL 미국나스닥100
[OK] 332940	HANARO MSCI Korea TR
[MISS] 326240	RISE IT플러스
[OK] 210780	TIGER 코스피고배당
[OK] 108450	ACE 삼성그룹섹터가중
[OK] 0018C0	PLUS 고배당주위클리고정커버드콜
[OK] 138520	TIGER 삼성그룹
[OK] 401470	KODEX 메타버스액티브
[OK] 261220	KODEX WTI원유선물(H)
[OK] 377990	TIGER Fn신재생에너지
[OK] 0026E0	KODEX 미국S&P500버퍼3월액티브
[OK] 415920	PLUS 글로벌희토류&전략자원생산기업
[OK] 337160	KODEX 200ESG
[OK] 261240	KODEX 미국달러선물
[MISS] 494330	ACE 라이프자산주주가치액티브
[OK] 475350	RISE 버크셔포트폴리오TOP10
[OK] 475300	SOL 반도체전공정
[OK] 316670	KIWOOM 코스닥150
[OK] 139320	TIGER 금은선물(H)
[OK] 465330	RISE 2차전지TOP10
[OK] 453080	KIWOOM 미국나스닥100(H)
[OK] 0008T0	SOL 화장품TOP3플러스
[OK] 485690	RISE 미국AI밸류체인TOP3Plus
[OK] 0007N0	아이엠에셋 200
[OK] 476850	KoAct 배당성장액티브
[OK] 491700	HK 200
[OK] 444490	WON 미국S&P500
[OK] 494840	TIGER 미국방산TOP10
[OK] 150460	TIGER 중국소비테마
[OK] 453640	KODEX 미국S&P500헬스케어
[OK] 463680	KODEX 미국S&P500테크놀로지
[OK] 496770	PLUS 글로벌방산
[OK] 445150	KODEX 친환경조선해운액티브
[OK] 395290	HANARO Fn K-POP&미디어
[OK] 275980	TIGER 글로벌4차산업혁신기술(합성 H)
[OK] 252650	KODEX 200동일가중
[OK] 458750	TIGER 미국배당다우존스타겟커버드콜1호
[OK] 0123S0	HANARO 26-12 은행채(AA+이상)액티브
[OK] 449770	KIWOOM 미국S&P500
[OK] 473590	ACE 미국주식베스트셀러
[OK] 0000Z0	RISE 바이오TOP10액티브
[OK] 0139P0	ACE 고배당주
[OK] 450910	SOL 코스닥150
[OK] 495040	PLUS 코리아밸류업
[OK] 292560	TIGER 일본엔선물
[MISS] 365000	TIGER 인터넷TOP10
[OK] 101280	KODEX 일본TOPIX100
