crno,sic_name,enp_rpr_fnm,address,homepage,enp_main_biz_name,corp_name
1101116583490,,정인국,서울특별시 영등포구 선유로43길 27,www.kcar.com,,케이카
1311110005114,,신준섭,경기도 평택시  세교산단로 61,www.smec-korea.co.kr,,성문전자
1101111296676,,홍범식,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥,www.uplus.co.kr,,LG유플러스
1760110007234,,남광희,경상북도 구미시  1공단로10길 53-12 (주)KH바텍,www.khvatec.com,,KH바텍
2149110002560,,최재완,전라북도 익산시 약촌로8길 62-8 (어양동),www.auk.co.kr,,광전자
1942110032714,,김상경,경기도 화성시 동탄면 영천로 38,www.sfa.co.kr,,에스에프에이
1101111020728,,"박동석, 한익희 (공동대표)",경기도 안산시 단원구 시화벤처로 481,www.sanil.co.kr,,산일전기
1101110139190,,이창환,서울특별시 동작구 동작대로 35 -,www.moonbaesteel.co.kr,,문배철강
1301110008771,,이반석,서울특별시 강남구  학동로 311 미성빌딩 7층,galaxiasme.com,,갤럭시아에스엠
1101110018138,,홍성우,서울특별시 중구 삼일대로 299 (충무로2가),www.rifa.co.kr,,이화산업
1752110009005,,송종화,경기도 성남시 수정구 금토로80번길 15-3 (금토동),kyochonfnb.com,,교촌에프앤비
1101115798272,,"박인원, 김민표, 조길성",경기도 수원시 권선구 산업로156번길 79,www.doosanrobotics.com,,두산로보틱스
1348110068248,,"최우형, 임종필 (각자 대표이사)",경기도 이천시 마장면 서이천로 58-47,www.vmsemi.com,,브이엠
1101110040165,,"허기호, 박지훈",서울특별시 서초구 효령로 275 서초동 1587 한일시멘트빌딩,www.hanil.com,,한일홀딩스
1351110102065,,"김영일, 장철수",경기도 화성시 양감면 초록로 868-12,www.g2p.co.kr,,지투파워
1101110222151,,"정욱, 정동훈","서울특별시 용산구 한강대로23길 55 6층 1-1호(한강로3가,현대아이파크몰 테마파크)",daewonmedia.com,,대원미디어
1101114780072,,유석환,"서울특별시 금천구 디지털로10길 9, 12층",rokithealthcare.com,,로킷헬스케어
1101116770170,,"임진달, 성낙양(각자 대표이사)",서울특별시 마포구 마포대로 119 효성빌딩,www.hyosungadvancedmaterials.com,,HS효성첨단소재
1101115837294,,서길석,서울특별시 강남구 삼성로 511,koramcothe1.com,,코람코더원리츠
1101112322438,,진옥동,서울특별시 중구 세종대로9길 20 태평로2가,www.shinhangroup.com,,신한지주
1701110429523,,황병우,대구광역시 북구 옥산로 111 대구은행 제2본점 9층,www.imfngroup.com,,iM금융지주
1344110046664,,이범권,경기도 이천시  대월면 사동로 76,www.sj.co.kr,,선진
1201110454976,,박병률,"서울특별시 강서구 공항대로 453, 3층",www.jinair.com,,진에어
